ID;REGIAO;MUNICIPIO/BAIRRO;OPM ;RISP;AISP;COORPIN
1;Capital;Acupe;26ª CIPM - Brotas;Atlântico;06 - Brotas;DEPOM
2;Capital;Aeroporto;15ª CIPM - Itapuã;Atlântico;12 - Itapuã;DEPOM
3;Capital;Águas Claras;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras;DEPOM
4;Capital;Alto da Terezinha;18ª CIPM - Periperi;BTS;05 - Periperi;DEPOM
5;Capital;Alto das Pombas;41ª CIPM - Federação;Atlântico;07 - Rio Vermelho;DEPOM
6;Capital;Alto do Cabrito;14ª CIPM - Lobato;BTS;05 - Periperi;DEPOM
7;Capital;Alto do Coqueirinho;15ª CIPM - Itapuã;Atlântico;12 - Itapuã;DEPOM
8;Capital;Amaralina;40ª CIPM - Nordeste de Amaralina;Atlântico;15 - Nordeste de Amaralina;DEPOM
10;Capital;Arenoso;23ª CIPM - Tancredo Neves;Central;11 - Tancredo Neves;DEPOM
11;Capital;Arraial do Retiro;23ª CIPM - Tancredo Neves;Central;11 - Tancredo Neves;DEPOM
12;Capital;Bairro da Paz;15ª CIPM - Itapuã;Atlântico;12 - Itapuã;DEPOM
13;Capital;Baixa de Quintas;37ª CIPM - Liberdade;BTS;02 - Liberdade;DEPOM
14;Capital;Barbalho;2ª CIPM - Barbalho;BTS;01 - Barris;DEPOM
15;Capital;Barra;11ª CIPM - Barra;Atlântico;14 - Barra;DEPOM
16;Capital;Barreiras;23ª CIPM - Tancredo Neves;Central;11 - Tancredo Neves;DEPOM
17;Capital;Barris;18º BPM - Centro Histórico;BTS;01 - Barris;DEPOM
18;Capital;Beiru/Tancredo Neves;23ª CIPM - Tancredo Neves;Central;11 - Tancredo Neves;DEPOM
19;Capital;Boa Viagem;17ª CIPM - Uruguai;BTS;03 - Bonfim;DEPOM
20;Capital;Boa Vista de Brotas;26ª CIPM - Brotas;Atlântico;06 - Brotas;DEPOM
21;Capital;Boa Vista de São Caetano;9ª CIPM - Pirajá;BTS;04 - São Caetano;DEPOM
22;Capital;Boca da Mata;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras;DEPOM
23;Capital;Boca do Rio;39ª CIPM - Boca do Rio;Atlântico;09 - Boca do Rio;DEPOM
24;Capital;Bom Juá;9ª CIPM - Pirajá;BTS;04 - São Caetano;DEPOM
25;Capital;Bonfim;17ª CIPM - Uruguai;BTS;03 - Bonfim;DEPOM
